tract,totYouthIndiv,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
221500,0,18,0,0,0,0,18
221601,0,21,0,0,0,0,21
221710,0,18,0,0,0,0,18
221810,0,30,0,0,0,0,30
221820,0,11,0,0,0,0,11
221900,0,4,0,0,0,0,4
222001,0,15,0,0,0,0,15
222002,0,7,0,0,0,0,7
222100,0,2,0,0,0,0,2
222200,0,8,0,0,0,0,8
222500,0,14,0,0,0,0,14
222600,0,3,0,0,0,0,3
222700,0,11,0,0,0,0,11
231210,0,2,0,0,0,0,2
231220,0,9,84,0,0,84,93
231300,0,35,0,0,0,0,35
231400,0,17,0,0,0,0,17
219500,0,19,0,0,0,0,19
219700,0,17,0,0,0,0,17
219800,0,6,0,0,0,0,6
219901,0,4,0,0,0,0,4
219902,0,8,0,0,0,0,8
220000,0,23,0,0,0,0,23
220100,0,15,0,0,0,0,15
800324,0,21,0,0,0,0,21
800327,0,0,0,0,0,0,0
800328,0,0,0,0,0,0,0
800331,0,0,0,0,0,0,0
800332,0,0,0,0,0,0,0
920011,0,0,0,0,0,0,0
920102,0,0,0,0,0,0,0
920104,0,0,0,0,0,0,0
920106,0,3,0,0,0,0,3
920116,0,19,0,0,0,0,19
920118,0,63,0,0,0,0,63
920119,0,0,0,0,0,0,0
920200,0,1,0,0,0,0,1
480302,0,2,0,0,0,0,2
480303,0,0,0,0,0,0,0
480304,0,3,0,0,0,0,3
480400,0,4,0,0,0,0,4
480802,0,5,0,0,0,0,5
480803,0,0,0,0,0,0,0
480804,0,2,0,0,0,0,2
480901,0,0,0,0,0,0,0
480902,0,0,0,0,0,0,0
480903,0,4,0,0,0,0,4
481001,0,5,0,0,0,0,5
481002,0,1,0,16,0,16,17
481500,0,13,0,0,0,0,13
481603,0,0,0,0,0,0,0
481604,0,0,0,0,0,0,0
481605,0,2,0,0,0,0,2
481606,0,3,0,0,0,0,3
481800,0,0,0,0,0,0,0
481901,0,2,0,0,0,0,2
481902,0,2,0,0,0,0,2
603702,0,12,0,0,0,0,12
603704,0,10,0,0,0,0,10
460200,0,12,0,0,0,0,12
460301,0,23,0,0,0,0,23
460302,0,0,0,0,0,0,0
461000,2,4,0,0,0,0,4
461100,0,10,0,0,0,0,10
461200,0,0,0,0,0,0,0
461300,0,9,0,0,0,0,9
104124,0,31,0,0,0,0,31
930101,0,3,0,0,0,0,3
930200,0,0,0,138,0,138,138
930301,0,7,0,0,0,0,7
430400,0,0,0,0,0,0,0
430600,0,0,0,0,0,0,0
430701,0,2,0,0,0,0,2
430721,0,0,0,0,0,0,0
430723,0,2,0,0,0,0,2
430724,0,0,0,0,0,0,0
430801,0,4,0,0,0,0,4
430802,0,0,0,0,0,0,0
430803,0,4,0,0,0,0,4
431600,0,0,0,0,0,0,0
431700,0,0,0,0,0,0,0
119001,0,26,0,0,0,0,26
119002,0,0,0,0,0,0,0
119201,0,1,0,0,0,0,1
119202,0,16,0,10,0,10,26
119400,0,4,0,0,0,0,4
119700,0,32,0,0,0,0,32
119800,0,8,0,0,0,0,8
554801,0,1,0,0,0,0,1
554802,0,3,10,14,0,24,27
554900,0,4,0,0,0,0,4
187101,0,0,0,0,0,0,0
187102,0,2,0,0,0,0,2
188100,0,18,0,50,0,50,68
188300,0,10,0,0,0,0,10
599000,0,18,0,0,0,0,18
408301,0,61,0,0,0,0,61
408302,0,40,0,0,0,0,40
408303,0,6,0,0,0,0,6
400602,0,9,0,0,0,0,9
400603,0,8,0,0,0,0,8
400604,0,4,0,0,0,0,4
404201,0,6,0,0,0,0,6
404202,0,0,0,0,0,0,0
404301,0,5,0,0,0,0,5
404302,0,0,0,0,0,0,0
404401,0,7,0,0,0,0,7
404402,0,10,0,0,0,0,10
404501,0,5,0,0,0,0,5
404503,0,1,0,0,0,0,1
404504,0,0,0,0,0,0,0
234000,0,11,24,6,0,30,41
234200,0,34,0,0,0,0,34
234300,0,28,0,0,0,0,28
234501,0,21,0,0,0,0,21
234502,0,10,0,0,0,0,10
234600,0,24,0,0,0,0,24
234700,0,1,0,0,0,0,1
234800,0,5,0,0,0,0,5
234901,0,4,0,0,0,0,4
234902,0,7,0,0,0,0,7
235100,0,2,0,0,0,0,2
235201,1,1,0,8,0,8,9
235202,0,5,0,0,0,0,5
236000,0,15,0,0,0,0,15
236100,3,15,0,0,0,0,15
236202,0,37,0,0,0,0,37
236203,0,64,0,0,0,0,64
236204,0,8,13,40,0,53,61
236400,0,0,0,0,0,0,0
404701,0,14,0,0,0,0,14
404702,0,0,0,0,0,0,0
404703,0,15,0,0,0,0,15
404801,0,10,0,0,0,0,10
404802,0,2,0,0,0,0,2
404803,0,5,0,0,0,0,5
404901,0,2,0,0,0,0,2
404902,0,2,0,0,0,0,2
404903,0,11,0,0,0,0,11
405001,0,20,0,0,0,0,20
405002,0,2,0,0,0,0,2
405101,0,4,0,0,0,0,4
405102,0,11,0,0,0,0,11
405201,0,5,0,0,0,0,5
405202,0,0,0,0,0,0,0
405203,0,8,0,0,0,0,8
194200,0,2,0,0,0,0,2
194300,0,0,0,0,0,0,0
261101,0,0,0,0,0,0,0
261102,0,0,0,0,0,0,0
261200,0,0,0,0,0,0,0
262100,0,0,0,0,0,0,0
262200,0,0,0,0,0,0,0
533601,0,0,0,0,0,0,0
533602,0,0,0,0,0,0,0
533603,0,14,0,0,0,0,14
533803,0,2,0,0,0,0,2
533804,0,0,0,0,0,0,0
533805,0,3,0,0,0,0,3
533806,0,43,0,0,0,0,43
533901,0,6,0,0,0,0,6
533902,2,25,0,0,0,0,25
534001,0,17,0,0,0,0,17
534002,0,12,0,0,0,0,12
534101,0,26,0,0,0,0,26
534102,0,7,0,0,0,0,7
534201,0,4,0,0,0,0,4
534202,0,4,0,0,0,0,4
534203,0,3,0,0,0,0,3
553100,0,24,0,0,0,0,24
553200,0,12,0,0,0,0,12
553300,0,13,0,0,0,0,13
554001,0,7,0,0,0,0,7
554002,0,8,0,28,0,28,36
554101,0,9,0,0,0,0,9
554103,0,17,0,0,0,0,17
554104,0,6,0,0,0,0,6
554105,0,3,0,37,0,37,40
554201,0,8,0,0,0,0,8
554203,0,5,0,0,0,0,5
554204,0,26,0,0,0,0,26
554301,0,0,0,0,0,0,0
554302,0,0,0,0,0,0,0
554403,0,22,0,0,0,0,22
554404,0,7,0,0,0,0,7
554405,0,0,0,0,0,0,0
554406,0,9,0,0,0,0,9
700600,0,3,0,0,0,0,3
700700,0,4,0,0,0,0,4
700801,0,3,0,0,0,0,3
700802,0,0,0,0,0,0,0
700901,0,5,0,0,0,0,5
700902,0,0,0,0,0,0,0
701000,0,1,0,0,0,0,1
203100,0,11,0,0,0,0,11
203200,0,0,0,0,0,0,0
203500,9,18,0,0,0,0,18
203600,0,3,0,25,0,25,28
203710,0,0,0,0,0,0,0
203720,0,0,0,0,0,0,0
203800,0,4,0,0,0,0,4
203900,0,3,0,0,0,0,3
204110,0,9,0,0,0,0,9
204120,0,3,0,0,0,0,3
204200,0,6,0,0,0,0,6
204300,0,0,0,0,0,0,0
204410,0,14,0,0,0,0,14
204420,0,15,115,0,0,115,130
204600,0,42,0,0,0,0,42
204700,0,23,0,0,0,0,23
204810,0,21,0,0,0,0,21
204820,0,15,0,0,0,0,15
204910,0,10,0,0,0,0,10
204920,0,27,0,0,0,0,27
205110,0,3,0,0,0,0,3
205120,0,77,23,0,0,23,100
206032,1,37,83,23,0,106,143
206050,0,144,0,0,0,0,144
430200,0,0,0,0,0,0,0
262301,0,2,0,0,0,0,2
262302,0,0,0,0,0,0,0
262303,0,0,0,0,0,0,0
262400,0,0,0,0,0,0,0
264000,0,0,0,0,0,0,0
264102,0,4,0,0,0,0,4
264103,0,5,0,0,0,0,5
264301,0,16,0,0,0,0,16
264302,0,17,0,0,0,0,17
265410,0,0,0,0,0,0,0
310100,0,0,0,0,0,0,0
310201,0,0,0,0,0,0,0
310202,0,0,0,0,0,0,0
310300,0,0,0,0,0,0,0
310400,0,4,0,0,0,0,4
310501,0,3,0,0,0,0,3
310601,0,0,0,47,0,47,47
310602,0,0,0,0,0,0,0
310701,0,5,0,0,0,0,5
310702,0,32,0,0,0,0,32
310703,0,9,0,0,0,0,9
310800,0,8,0,0,0,0,8
310900,0,16,0,0,0,0,16
311000,0,3,0,0,0,0,3
311100,0,4,0,0,0,0,4
311200,0,3,0,0,0,0,3
311300,0,0,0,0,0,0,0
311400,0,4,0,0,0,0,4
311500,0,0,0,0,0,0,0
311600,0,5,0,0,0,0,5
311700,0,10,0,0,0,0,10
311801,0,1,0,0,0,0,1
311802,0,1,0,0,0,0,1
980001,0,12,0,0,0,0,12
800203,0,0,0,0,0,0,0
800204,0,0,0,0,0,0,0
800101,0,0,0,0,0,0,0
800202,0,0,0,0,0,0,0
113233,0,27,0,0,0,0,27
113234,0,6,0,15,0,15,21
134201,0,14,0,0,0,0,14
134303,0,13,0,0,0,0,13
134304,0,7,17,44,0,61,68
134305,0,11,0,0,0,0,11
134306,0,5,0,0,0,0,5
134520,0,21,0,0,0,0,21
134521,0,46,0,0,0,0,46
134522,0,13,0,0,0,0,13
910808,0,7,0,0,0,0,7
910810,0,3,0,0,0,0,3
920026,0,16,0,0,0,0,16
920033,0,16,0,0,0,0,16
541002,0,0,0,0,0,0,0
543100,0,11,0,0,0,0,11
543304,0,0,0,0,0,0,0
543305,0,67,156,0,0,156,223
543306,0,10,0,0,0,0,10
543321,0,1,0,0,0,0,1
543322,0,0,0,0,0,0,0
543400,0,33,0,0,0,0,33
543501,0,68,0,0,0,0,68
543601,0,1,0,0,0,0,1
543604,0,8,0,0,0,0,8
543701,0,0,0,0,0,0,0
543702,0,0,0,0,0,0,0
543703,0,2,0,0,0,0,2
543801,0,9,0,0,0,0,9
543802,1,13,0,0,0,0,13
543903,0,0,0,0,0,0,0
543905,0,0,0,0,0,0,0
980002,0,0,0,0,0,0,0
980025,0,1,0,0,0,0,1
228220,0,6,0,0,0,0,6
228710,0,20,0,0,0,0,20
228720,0,17,0,0,0,0,17
228800,5,34,0,0,0,0,34
228900,0,42,0,0,0,0,42
229100,0,13,0,0,0,0,13
554511,0,0,0,0,0,0,0
554512,0,1,0,0,0,0,1
554513,0,0,0,0,0,0,0
554514,0,0,0,0,0,0,0
554515,0,4,0,0,0,0,4
554516,0,0,0,0,0,0,0
554517,0,0,0,0,0,0,0
554518,0,0,0,0,0,0,0
554519,0,0,0,0,0,0,0
554521,0,16,0,0,0,0,16
554522,0,6,0,0,0,0,6
403801,0,4,0,0,0,0,4
403802,0,9,0,0,0,0,9
113101,0,1,0,0,0,0,1
113102,0,10,0,0,0,0,10
113211,0,14,0,0,0,0,14
113212,0,2,0,0,0,0,2
113213,0,20,0,0,0,0,20
113235,0,0,0,0,0,0,0
113237,0,24,74,0,0,74,98
113303,0,13,0,16,0,16,29
113321,0,22,0,0,0,0,22
113322,0,0,0,0,0,0,0
980023,0,25,0,0,0,0,25
197700,1,1,0,0,0,0,1
206010,0,26,0,17,0,17,43
206020,5,12,0,0,0,0,12
207101,0,11,0,0,0,0,11
207102,2,179,0,26,0,26,205
207103,0,5,0,0,0,0,5
404000,0,13,0,0,0,0,13
404100,0,5,0,0,0,0,5
400205,0,0,0,0,0,0,0
400206,0,0,0,0,0,0,0
401701,0,4,0,0,0,0,4
401800,0,1,9,0,0,9,10
401901,0,1,0,0,0,0,1
401902,0,0,12,0,0,12,12
402001,0,0,0,0,0,0,0
402002,0,0,0,0,0,0,0
532302,0,10,0,0,0,0,10
532303,0,46,0,0,0,0,46
532304,6,16,213,186,0,399,415
541200,0,15,0,0,0,0,15
541300,0,11,0,0,0,0,11
541603,0,27,0,0,0,0,27
541604,0,27,0,0,0,0,27
541605,5,30,0,0,0,0,30
541606,0,22,0,0,0,0,22
542000,0,22,0,0,0,0,22
542103,0,16,0,0,0,0,16
542104,0,8,0,0,0,0,8
542105,0,1,0,89,0,89,90
542106,0,5,0,0,0,0,5
542200,0,10,0,0,0,0,10
542401,0,6,0,0,0,0,6
542402,4,11,0,0,0,0,11
542501,0,18,0,0,0,0,18
542502,0,9,56,0,0,56,65
542601,0,31,0,0,0,0,31
542602,0,6,0,0,0,0,6
542700,0,20,0,0,0,0,20
542800,0,12,0,0,0,0,12
542900,0,2,0,0,0,0,2
543000,0,2,0,0,0,0,2
543201,0,10,0,0,0,0,10
543202,0,23,0,0,0,0,23
403500,0,0,0,0,0,0,0
403600,0,4,0,0,0,0,4
403702,0,0,0,0,0,0,0
403721,0,0,22,4,0,26,26
403722,0,0,0,0,0,0,0
405701,0,0,0,0,0,0,0
405702,0,0,0,7,0,7,7
405800,0,4,0,0,0,0,4
405900,0,4,0,0,0,0,4
406000,0,0,0,0,0,0,0
406101,0,2,0,0,0,0,2
406102,0,6,0,0,0,0,6
534301,0,34,56,0,0,56,90
534302,0,6,0,0,0,0,6
534403,0,6,0,0,0,0,6
534404,0,0,0,0,0,0,0
534405,0,9,0,0,0,0,9
534406,0,8,0,0,0,0,8
702400,0,5,0,0,0,0,5
702501,0,4,0,0,0,0,4
702502,0,8,0,0,0,0,8
702600,0,15,0,0,0,0,15
702700,0,1,0,0,0,0,1
702801,0,5,0,0,0,0,5
702802,0,29,0,0,0,0,29
702803,0,2,49,0,0,49,51
703001,0,4,0,0,0,0,4
185203,0,13,0,0,0,0,13
185204,0,0,0,0,0,0,0
185310,0,14,0,0,0,0,14
185320,0,24,0,0,0,0,24
602200,2,6,0,0,0,0,6
602301,0,1,0,0,0,0,1
275101,0,17,0,0,0,0,17
275102,0,8,0,0,0,0,8
275200,0,38,0,0,0,0,38
275302,0,15,0,0,0,0,15
275311,0,23,0,0,0,0,23
275400,0,19,0,0,0,0,19
275500,0,29,0,0,0,0,29
275602,0,0,0,0,0,0,0
275603,0,30,0,0,0,0,30
403304,0,0,0,0,0,0,0
403305,0,0,0,0,0,0,0
403316,0,0,0,0,0,0,0
403319,0,6,0,0,0,0,6
403320,0,0,0,0,0,0,0
403321,0,0,0,0,0,0,0
403322,0,0,0,0,0,0,0
403323,0,0,0,0,0,0,0
403324,0,0,0,0,0,0,0
403325,0,0,0,0,0,0,0
550400,0,89,0,0,0,0,89
550500,0,0,0,0,0,0,0
550601,0,2,0,0,0,0,2
550602,0,1,0,0,0,0,1
550700,0,0,0,0,0,0,0
550800,0,0,0,0,0,0,0
550901,0,0,0,0,0,0,0
550902,0,0,0,0,0,0,0
551000,0,0,0,0,0,0,0
551101,0,1,0,0,0,0,1
551102,0,3,0,0,0,0,3
551201,0,0,0,0,0,0,0
551202,0,2,0,0,0,0,2
551300,0,28,9,0,0,9,37
551401,0,0,0,0,0,0,0
551402,0,3,0,0,0,0,3
551501,0,0,0,0,0,0,0
551502,0,0,0,0,0,0,0
551600,0,0,0,0,0,0,0
551700,0,5,0,0,0,0,5
551800,0,60,0,0,0,0,60
553400,0,6,0,0,0,0,6
206031,0,59,0,0,0,0,59
207400,0,58,0,0,0,0,58
207501,0,5,0,0,0,0,5
207502,0,26,0,0,0,0,26
207710,0,90,33,0,0,33,123
207900,0,27,0,0,0,0,27
209200,0,145,0,0,0,0,145
224010,3,49,0,0,0,0,49
226001,0,66,0,0,0,0,66
226002,0,348,128,0,0,128,476
430002,0,5,0,0,0,0,5
430003,0,4,0,0,0,0,4
430101,0,14,37,0,0,37,51
430102,0,0,0,0,0,0,0
181000,0,37,0,0,0,0,37
181300,0,8,0,0,0,0,8
181400,0,13,0,0,0,0,13
181500,0,9,0,0,0,0,9
181600,0,23,0,0,0,0,23
183402,0,5,0,0,0,0,5
183702,0,2,0,0,0,0,2
185100,0,35,0,0,0,0,35
185202,0,1,0,0,0,0,1
186201,0,10,0,0,0,0,10
186202,0,0,0,0,0,0,0
186203,0,8,0,0,0,0,8
199300,0,7,0,0,0,0,7
199400,0,12,0,0,0,0,12
201302,0,4,0,0,0,0,4
503701,0,5,0,0,0,0,5
503702,0,18,0,0,0,0,18
530301,0,0,0,0,0,0,0
530302,0,0,0,0,0,0,0
530400,5,9,0,0,0,0,9
530500,0,5,0,0,0,0,5
530601,0,0,0,0,0,0,0
530602,0,4,0,0,0,0,4
530700,0,14,0,0,0,0,14
530801,0,22,0,0,0,0,22
530802,0,13,0,0,0,0,13
530901,0,2,0,0,0,0,2
530902,0,2,0,0,0,0,2
531000,3,7,0,0,0,0,7
531101,0,0,0,0,0,0,0
531102,0,14,0,0,0,0,14
531201,0,15,0,0,0,0,15
531202,0,7,0,0,0,0,7
531301,2,21,0,0,0,0,21
531302,0,0,0,0,0,0,0
531502,0,1,0,0,0,0,1
531503,2,7,0,0,0,0,7
531504,0,0,0,0,0,0,0
531602,0,4,0,0,0,0,4
531603,0,4,0,0,0,0,4
531604,0,27,0,0,0,0,27
531701,0,21,42,0,0,42,63
531702,0,20,0,0,0,0,20
531800,0,27,0,0,0,0,27
531901,0,0,0,0,0,0,0
531902,0,0,0,0,0,0,0
463101,0,12,0,0,0,0,12
480002,0,0,0,0,0,0,0
480011,0,2,0,0,0,0,2
480012,0,0,0,0,0,0,0
480102,0,0,12,0,0,12,12
481202,0,0,0,0,0,0,0
195600,0,16,0,42,0,42,58
195710,0,48,0,84,0,84,132
195720,0,26,0,0,0,0,26
197300,0,4,0,0,0,0,4
197410,0,6,0,0,0,0,6
197420,0,10,0,70,0,70,80
197500,0,42,0,31,0,31,73
197600,0,15,0,0,0,0,15
208000,0,10,0,0,0,0,10
208401,0,11,0,0,0,0,11
208402,0,42,0,0,0,0,42
208501,0,9,0,22,0,22,31
208502,0,16,0,0,0,0,16
980010,0,10,0,0,0,0,10
432300,0,2,0,0,0,0,2
432401,0,1,0,0,0,0,1
432402,0,1,0,0,0,0,1
432500,0,0,0,0,0,0,0
432601,0,0,0,0,0,0,0
432602,0,0,0,0,0,0,0
432700,0,6,0,17,0,17,23
432801,0,8,0,0,0,0,8
432802,0,10,0,0,0,0,10
433101,0,1,90,0,0,90,91
433102,0,0,0,0,0,0,0
433200,0,0,0,0,0,0,0
433302,0,6,0,0,0,0,6
433304,0,2,0,0,0,0,2
433305,0,4,0,0,0,0,4
433306,0,0,0,0,0,0,0
433307,0,0,0,0,0,0,0
433401,0,0,0,0,0,0,0
433402,0,2,0,0,0,0,2
433403,0,1,61,0,0,61,62
433901,0,10,0,41,0,41,51
433902,0,1,0,0,0,0,1
434001,0,2,0,0,0,0,2
434003,0,0,0,0,0,0,0
434004,0,3,0,0,0,0,3
620001,0,2,0,0,0,0,2
620002,0,0,0,0,0,0,0
620101,0,4,0,0,0,0,4
620102,0,0,0,0,0,0,0
980013,0,12,0,0,0,0,12
980030,0,2,0,0,0,0,2
199110,0,0,29,0,0,29,29
201110,0,0,0,0,0,0,0
201120,0,4,0,0,0,0,4
201200,0,6,0,0,0,0,6
201301,0,9,0,0,0,0,9
201401,0,0,0,0,0,0,0
201402,0,0,0,0,0,0,0
201501,0,0,0,0,0,0,0
201503,0,2,0,0,0,0,2
201504,0,0,0,0,0,0,0
201601,0,3,0,0,0,0,3
201602,0,5,0,0,0,0,5
201700,0,10,0,0,0,0,10
139001,0,0,0,0,0,0,0
139200,0,0,0,0,0,0,0
139502,0,0,0,0,0,0,0
139503,0,11,0,0,0,0,11
139504,0,0,0,0,0,0,0
139600,0,4,0,0,0,0,4
139701,0,0,0,0,0,0,0
139702,0,0,0,0,0,0,0
139703,0,0,0,0,0,0,0
141400,0,11,0,0,0,0,11
141500,0,3,0,0,0,0,3
532700,0,40,20,0,0,20,60
532800,0,59,0,0,0,0,59
532900,1,89,0,0,0,0,89
533001,0,86,0,0,0,0,86
533002,0,15,0,0,0,0,15
534900,3,29,0,0,0,0,29
535001,0,6,0,0,0,0,6
535002,0,14,0,0,0,0,14
535101,0,17,0,0,0,0,17
535102,0,23,0,0,0,0,23
535200,0,32,0,0,0,0,32
535300,0,47,0,20,0,20,67
535400,0,46,0,0,0,0,46
102107,0,0,0,0,0,0,0
103200,0,65,0,0,0,0,65
103300,0,0,0,0,0,0,0
104103,0,10,0,0,0,0,10
104204,0,1,0,0,0,0,1
980020,0,23,0,0,0,0,23
187200,0,5,0,0,0,0,5
197200,0,5,0,0,0,0,5
602600,0,13,0,5,0,5,18
602900,0,17,53,0,0,53,70
603001,0,7,0,0,0,0,7
603004,0,2,0,0,0,0,2
603005,0,2,0,0,0,0,2
603006,1,4,0,0,0,0,4
603101,0,11,0,0,0,0,11
603102,0,5,0,0,0,0,5
603200,0,2,0,0,0,0,2
603301,0,2,0,0,0,0,2
603302,0,19,0,0,0,0,19
603400,0,13,0,0,0,0,13
603500,0,9,0,0,0,0,9
603600,0,22,0,0,0,0,22
186100,0,1,0,0,0,0,1
186301,0,0,0,0,0,0,0
186302,0,15,0,0,0,0,15
186401,0,4,0,0,0,0,4
186403,0,8,0,0,0,0,8
186404,0,4,0,0,0,0,4
400402,0,24,205,0,0,205,229
400404,0,0,0,0,0,0,0
400501,0,0,0,0,0,0,0
400800,0,0,0,0,0,0,0
400900,0,4,0,0,0,0,4
401001,0,0,0,0,0,0,0
401002,0,7,0,0,0,0,7
401101,0,0,0,0,0,0,0
401102,0,29,0,0,0,0,29
401201,0,0,0,0,0,0,0
401202,0,0,0,0,0,0,0
401203,0,0,0,0,0,0,0
403901,0,0,0,0,0,0,0
403902,0,1,0,0,0,0,1
106603,0,18,0,0,0,0,18
106641,0,0,0,0,0,0,0
106642,0,0,0,0,0,0,0
106643,0,0,0,0,0,0,0
106645,0,0,0,0,0,0,0
106646,0,14,0,0,0,0,14
109200,0,0,0,0,0,0,0
109300,0,2,0,0,0,0,2
109700,0,0,0,0,0,0,0
111100,0,1,0,0,0,0,1
111201,0,1,0,0,0,0,1
111202,0,34,0,0,0,0,34
111301,0,34,0,0,0,0,34
111400,0,1,0,0,0,0,1
980022,0,0,0,0,0,0,0
240010,0,48,0,0,0,0,48
240020,0,22,0,0,0,0,22
240200,0,104,0,0,0,0,104
240500,0,11,0,22,0,22,33
240600,0,16,0,0,0,0,16
240700,0,23,0,0,0,0,23
240800,0,29,0,0,0,0,29
240900,0,0,0,0,0,0,0
241001,0,17,0,0,0,0,17
241002,0,36,0,0,0,0,36
241110,0,3,110,0,0,110,113
241120,0,18,0,0,0,0,18
241202,0,26,0,0,0,0,26
241400,0,11,0,0,0,0,11
408401,0,46,0,0,0,0,46
408402,0,51,0,0,0,0,51
408501,0,32,0,0,0,0,32
408503,0,23,0,0,0,0,23
408504,0,36,0,0,0,0,36
408505,0,19,0,0,0,0,19
408623,0,6,0,0,0,0,6
408624,0,0,0,0,0,0,0
408625,0,3,0,0,0,0,3
408628,0,0,0,0,0,0,0
408629,0,0,0,0,0,0,0
408630,0,4,0,0,0,0,4
408631,0,0,0,0,0,0,0
293301,0,4,0,0,0,0,4
293302,0,47,0,0,0,0,47
293304,0,12,0,0,0,0,12
293306,0,6,0,0,0,0,6
293307,0,12,0,0,0,0,12
294421,0,39,0,0,0,0,39
291110,0,0,0,0,0,0,0
291120,0,0,0,0,0,0,0
291130,1,2,0,0,0,0,2
291210,0,0,0,0,0,0,0
291220,0,5,0,0,0,0,5
291300,0,55,0,0,0,0,55
292000,0,57,0,0,0,0,57
293201,0,0,0,0,0,0,0
293202,0,13,0,0,0,0,13
555211,0,7,0,0,0,0,7
555212,0,5,0,0,0,0,5
602002,0,2,0,0,0,0,2
602103,0,3,0,0,0,0,3
602104,1,4,0,0,0,0,4
602105,0,4,0,0,0,0,4
602106,0,2,0,0,0,0,2
602302,0,18,0,0,0,0,18
602402,0,3,0,7,0,7,10
602403,0,2,0,0,0,0,2
602404,0,0,0,0,0,0,0
602504,0,16,0,0,0,0,16
602505,0,2,0,0,0,0,2
602506,0,1,0,0,0,0,1
602507,0,5,0,0,0,0,5
602508,0,9,0,0,0,0,9
602509,1,12,0,0,0,0,12
602700,0,9,0,0,0,0,9
603703,0,1,0,0,0,0,1
621001,0,0,0,0,0,0,0
621002,0,2,0,0,0,0,2
621004,0,0,6,0,0,6,6
621102,0,3,0,0,0,0,3
621104,0,9,0,0,0,0,9
183101,0,13,0,0,0,0,13
183103,0,14,0,0,0,0,14
183104,0,11,0,0,0,0,11
183220,0,0,0,0,0,0,0
183221,0,0,0,0,0,0,0
183222,0,11,0,0,0,0,11
183300,0,2,0,0,0,0,2
183401,0,14,0,0,0,0,14
